10: a = xxx, b = xxxx, res = xxxxxxx
30: a = 100, b = 0001, res = 0000100
50: a = 001, b = 0011, res = 0000011
70: a = 101, b = 1101, res = 1000001
90: a = 101, b = 0010, res = 0001010
110: a = 001, b = 1101, res = 0001101
130: a = 110, b = 1101, res = 1001110
150: a = 101, b = 1100, res = 0111100
170: a = 001, b = 0110, res = 0000110
190: a = 101, b = 1010, res = 0110010
210: a = 101, b = 0111, res = 0100011
